date,fg_value,fg_class,fg_change,fg_change_pct
2018-02-01,30,Fear,,
2018-02-02,15,Extreme Fear,-15.0,-50.0
2018-02-03,40,Fear,25.0,166.66666666666666
2018-02-04,24,Extreme Fear,-16.0,-40.0
2018-02-05,11,Extreme Fear,-13.0,-54.16666666666667
2018-02-06,8,Extreme Fear,-3.0,-27.27272727272727
2018-02-07,36,Fear,28.0,350.0
2018-02-08,30,Fear,-6.0,-16.666666666666664
2018-02-09,44,Fear,14.0,46.66666666666666
2018-02-10,54,Neutral,10.0,22.72727272727273
2018-02-11,31,Fear,-23.0,-42.592592592592595
2018-02-12,42,Fear,11.0,35.48387096774193
2018-02-13,35,Fear,-7.0,-16.666666666666664
2018-02-14,55,Greed,20.0,57.14285714285714
2018-02-15,71,Greed,16.0,29.0909090909091
2018-02-16,67,Greed,-4.0,-5.633802816901412
2018-02-17,74,Greed,7.0,10.447761194029859
2018-02-18,63,Greed,-11.0,-14.864864864864868
2018-02-19,67,Greed,4.0,6.349206349206349
2018-02-20,74,Greed,7.0,10.447761194029859
2018-02-21,54,Neutral,-20.0,-27.027027027027028
2018-02-22,44,Fear,-10.0,-18.518518518518523
2018-02-23,39,Fear,-5.0,-11.363636363636365
2018-02-24,31,Fear,-8.0,-20.512820512820518
2018-02-25,33,Fear,2.0,6.451612903225801
2018-02-26,37,Fear,4.0,12.12121212121211
2018-02-27,44,Fear,7.0,18.918918918918926
2018-02-28,41,Fear,-3.0,-6.818181818181824
2018-03-01,38,Fear,-3.0,-7.317073170731703
2018-03-02,47,Neutral,9.0,23.684210526315795
2018-03-03,56,Greed,9.0,19.14893617021276
2018-03-04,44,Fear,-12.0,-21.42857142857143
2018-03-05,55,Greed,11.0,25.0
2018-03-06,59,Greed,4.0,7.272727272727275
2018-03-07,37,Fear,-22.0,-37.28813559322034
2018-03-08,39,Fear,2.0,5.405405405405395
2018-03-09,37,Fear,-2.0,-5.128205128205132
2018-03-10,39,Fear,2.0,5.405405405405395
2018-03-11,40,Fear,1.0,2.564102564102555
2018-03-12,41,Fear,1.0,2.499999999999991
2018-03-13,41,Fear,0.0,0.0
2018-03-14,40,Fear,-1.0,-2.4390243902439046
2018-03-15,32,Fear,-8.0,-19.999999999999996
2018-03-16,33,Fear,1.0,3.125
2018-03-17,31,Fear,-2.0,-6.060606060606055
2018-03-18,29,Fear,-2.0,-6.451612903225811
2018-03-19,29,Fear,0.0,0.0
2018-03-20,37,Fear,8.0,27.586206896551737
2018-03-21,36,Fear,-1.0,-2.7027027027026973
2018-03-22,36,Fear,0.0,0.0
2018-03-23,28,Fear,-8.0,-22.22222222222222
2018-03-24,32,Fear,4.0,14.28571428571428
2018-03-25,30,Fear,-2.0,-6.25
2018-03-26,31,Fear,1.0,3.3333333333333437
2018-03-27,24,Extreme Fear,-7.0,-22.580645161290324
2018-03-28,24,Extreme Fear,0.0,0.0
2018-03-29,18,Extreme Fear,-6.0,-25.0
2018-03-30,12,Extreme Fear,-6.0,-33.333333333333336
2018-03-31,16,Extreme Fear,4.0,33.33333333333333
2018-04-01,16,Extreme Fear,0.0,0.0
2018-04-02,11,Extreme Fear,-5.0,-31.25
2018-04-03,22,Extreme Fear,11.0,100.0
2018-04-04,22,Extreme Fear,0.0,0.0
2018-04-05,17,Extreme Fear,-5.0,-22.72727272727273
2018-04-06,19,Extreme Fear,2.0,11.764705882352944
2018-04-07,20,Extreme Fear,1.0,5.263157894736836
2018-04-08,17,Extreme Fear,-3.0,-15.000000000000002
2018-04-09,21,Extreme Fear,4.0,23.529411764705888
2018-04-10,18,Extreme Fear,-3.0,-14.28571428571429
2018-04-11,20,Extreme Fear,2.0,11.111111111111116
2018-04-12,18,Extreme Fear,-2.0,-9.999999999999998
2018-04-13,23,Extreme Fear,5.0,27.777777777777768
2018-04-17,26,Fear,3.0,13.043478260869556
2018-04-18,24,Extreme Fear,-2.0,-7.692307692307687
2018-04-19,25,Extreme Fear,1.0,4.166666666666674
2018-04-20,26,Fear,1.0,4.0000000000000036
2018-04-21,32,Fear,6.0,23.076923076923084
2018-04-22,31,Fear,-1.0,-3.125
2018-04-23,28,Fear,-3.0,-9.677419354838712
2018-04-24,29,Fear,1.0,3.571428571428581
2018-04-25,64,Greed,35.0,120.6896551724138
2018-04-26,47,Neutral,-17.0,-26.5625
2018-04-27,55,Greed,8.0,17.021276595744684
2018-04-28,54,Neutral,-1.0,-1.8181818181818188
2018-04-29,61,Greed,7.0,12.962962962962955
2018-04-30,59,Greed,-2.0,-3.2786885245901676
2018-05-01,56,Greed,-3.0,-5.0847457627118615
2018-05-02,52,Neutral,-4.0,-7.14285714285714
2018-05-03,55,Greed,3.0,5.769230769230771
2018-05-04,56,Greed,1.0,1.8181818181818077
2018-05-05,63,Greed,7.0,12.5
2018-05-06,67,Greed,4.0,6.349206349206349
2018-05-07,56,Greed,-11.0,-16.417910447761198
2018-05-08,62,Greed,6.0,10.71428571428572
2018-05-09,53,Neutral,-9.0,-14.516129032258062
2018-05-10,63,Greed,10.0,18.867924528301884
2018-05-11,41,Fear,-22.0,-34.92063492063492
2018-05-12,44,Fear,3.0,7.317073170731714
2018-05-13,40,Fear,-4.0,-9.090909090909093
2018-05-14,40,Fear,0.0,0.0
2018-05-15,40,Fear,0.0,0.0
2018-05-16,32,Fear,-8.0,-19.999999999999996
2018-05-17,31,Fear,-1.0,-3.125
2018-05-18,37,Fear,6.0,19.354838709677423
2018-05-19,31,Fear,-6.0,-16.216216216216218
2018-05-20,32,Fear,1.0,3.2258064516129004
2018-05-21,41,Fear,9.0,28.125
2018-05-22,30,Fear,-11.0,-26.82926829268293
2018-05-23,26,Fear,-4.0,-13.33333333333333
2018-05-24,27,Fear,1.0,3.8461538461538547
2018-05-25,25,Extreme Fear,-2.0,-7.4074074074074066
2018-05-26,23,Extreme Fear,-2.0,-7.9999999999999964
2018-05-27,19,Extreme Fear,-4.0,-17.391304347826086
2018-05-28,22,Extreme Fear,3.0,15.789473684210531
2018-05-29,16,Extreme Fear,-6.0,-27.27272727272727
2018-05-30,38,Fear,22.0,137.5
2018-05-31,25,Extreme Fear,-13.0,-34.210526315789465
2018-06-01,24,Extreme Fear,-1.0,-4.0000000000000036
2018-06-02,27,Fear,3.0,12.5
2018-06-03,40,Fear,13.0,48.14814814814814
2018-06-04,41,Fear,1.0,2.499999999999991
2018-06-05,26,Fear,-15.0,-36.58536585365854
2018-06-06,42,Fear,16.0,61.53846153846154
2018-06-07,38,Fear,-4.0,-9.523809523809524
2018-06-08,40,Fear,2.0,5.263157894736836
2018-06-09,39,Fear,-1.0,-2.500000000000002
2018-06-10,24,Extreme Fear,-15.0,-38.46153846153846
2018-06-11,15,Extreme Fear,-9.0,-37.5
2018-06-12,19,Extreme Fear,4.0,26.66666666666666
2018-06-13,19,Extreme Fear,0.0,0.0
2018-06-14,17,Extreme Fear,-2.0,-10.526315789473683
2018-06-15,26,Fear,9.0,52.941176470588225
2018-06-16,22,Extreme Fear,-4.0,-15.384615384615385
2018-06-17,23,Extreme Fear,1.0,4.545454545454541
2018-06-18,27,Fear,4.0,17.391304347826097
2018-06-19,32,Fear,5.0,18.518518518518512
2018-06-20,34,Fear,2.0,6.25
2018-06-21,37,Fear,3.0,8.823529411764696
2018-06-22,28,Fear,-9.0,-24.32432432432432
2018-06-23,17,Extreme Fear,-11.0,-39.28571428571429
2018-06-24,15,Extreme Fear,-2.0,-11.764705882352944
2018-06-25,16,Extreme Fear,1.0,6.666666666666665
2018-06-26,21,Extreme Fear,5.0,31.25
2018-06-27,18,Extreme Fear,-3.0,-14.28571428571429
2018-06-28,20,Extreme Fear,2.0,11.111111111111116
2018-06-29,16,Extreme Fear,-4.0,-19.999999999999996
2018-06-30,22,Extreme Fear,6.0,37.5
2018-07-01,27,Fear,5.0,22.72727272727273
2018-07-02,27,Fear,0.0,0.0
2018-07-03,31,Fear,4.0,14.814814814814813
2018-07-04,33,Fear,2.0,6.451612903225801
2018-07-05,37,Fear,4.0,12.12121212121211
2018-07-06,34,Fear,-3.0,-8.108108108108103
2018-07-07,34,Fear,0.0,0.0
2018-07-08,38,Fear,4.0,11.764705882352944
2018-07-09,39,Fear,1.0,2.6315789473684292
2018-07-10,37,Fear,-2.0,-5.128205128205132
2018-07-11,29,Fear,-8.0,-21.62162162162162
2018-07-12,33,Fear,4.0,13.793103448275868
2018-07-13,29,Fear,-4.0,-12.121212121212121
2018-07-14,29,Fear,0.0,0.0
2018-07-15,32,Fear,3.0,10.344827586206895
2018-07-16,36,Fear,4.0,12.5
2018-07-17,39,Fear,3.0,8.333333333333325
2018-07-18,42,Fear,3.0,7.692307692307687
2018-07-19,44,Fear,2.0,4.761904761904767
2018-07-20,47,Neutral,3.0,6.818181818181812
2018-07-21,43,Fear,-4.0,-8.510638297872342
2018-07-22,46,Fear,3.0,6.976744186046502
2018-07-23,44,Fear,-2.0,-4.347826086956519
2018-07-24,49,Neutral,5.0,11.363636363636353
2018-07-25,54,Neutral,5.0,10.20408163265305
2018-07-26,53,Neutral,-1.0,-1.851851851851849
2018-07-27,47,Neutral,-6.0,-11.32075471698113
2018-07-28,54,Neutral,7.0,14.893617021276606
2018-07-29,54,Neutral,0.0,0.0
2018-07-30,53,Neutral,-1.0,-1.851851851851849
2018-07-31,48,Neutral,-5.0,-9.433962264150942
2018-08-01,39,Fear,-9.0,-18.75
2018-08-02,39,Fear,0.0,0.0
2018-08-03,36,Fear,-3.0,-7.692307692307687
2018-08-04,31,Fear,-5.0,-13.888888888888884
2018-08-05,23,Extreme Fear,-8.0,-25.806451612903224
2018-08-06,25,Extreme Fear,2.0,8.695652173913038
2018-08-07,25,Extreme Fear,0.0,0.0
2018-08-08,23,Extreme Fear,-2.0,-7.9999999999999964
2018-08-09,19,Extreme Fear,-4.0,-17.391304347826086
2018-08-10,21,Extreme Fear,2.0,10.526315789473696
2018-08-11,18,Extreme Fear,-3.0,-14.28571428571429
2018-08-12,18,Extreme Fear,0.0,0.0
2018-08-13,21,Extreme Fear,3.0,16.666666666666675
2018-08-14,16,Extreme Fear,-5.0,-23.809523809523814
2018-08-15,18,Extreme Fear,2.0,12.5
2018-08-16,21,Extreme Fear,3.0,16.666666666666675
2018-08-17,19,Extreme Fear,-2.0,-9.523809523809524
2018-08-18,24,Extreme Fear,5.0,26.315789473684205
2018-08-19,27,Fear,3.0,12.5
2018-08-20,26,Fear,-1.0,-3.703703703703709
2018-08-21,19,Extreme Fear,-7.0,-26.923076923076927
2018-08-22,21,Extreme Fear,2.0,10.526315789473696
2018-08-23,18,Extreme Fear,-3.0,-14.28571428571429
2018-08-24,19,Extreme Fear,1.0,5.555555555555558
2018-08-25,22,Extreme Fear,3.0,15.789473684210531
2018-08-26,19,Extreme Fear,-3.0,-13.636363636363635
2018-08-27,18,Extreme Fear,-1.0,-5.263157894736848
2018-08-28,19,Extreme Fear,1.0,5.555555555555558
2018-08-29,19,Extreme Fear,0.0,0.0
2018-08-30,22,Extreme Fear,3.0,15.789473684210531
2018-08-31,17,Extreme Fear,-5.0,-22.72727272727273
2018-09-01,21,Extreme Fear,4.0,23.529411764705888
2018-09-02,18,Extreme Fear,-3.0,-14.28571428571429
2018-09-03,19,Extreme Fear,1.0,5.555555555555558
2018-09-04,26,Fear,7.0,36.8421052631579
2018-09-05,17,Extreme Fear,-9.0,-34.61538461538461
2018-09-06,14,Extreme Fear,-3.0,-17.647058823529417
2018-09-07,17,Extreme Fear,3.0,21.42857142857142
2018-09-08,18,Extreme Fear,1.0,5.882352941176472
2018-09-09,13,Extreme Fear,-5.0,-27.77777777777778
2018-09-10,15,Extreme Fear,2.0,15.384615384615374
2018-09-11,18,Extreme Fear,3.0,19.999999999999996
2018-09-12,14,Extreme Fear,-4.0,-22.22222222222222
2018-09-13,20,Extreme Fear,6.0,42.85714285714286
2018-09-14,23,Extreme Fear,3.0,14.999999999999991
2018-09-15,24,Extreme Fear,1.0,4.347826086956519
2018-09-16,28,Fear,4.0,16.666666666666675
2018-09-17,25,Extreme Fear,-3.0,-10.71428571428571
2018-09-18,21,Extreme Fear,-4.0,-16.000000000000004
2018-09-19,24,Extreme Fear,3.0,14.28571428571428
2018-09-20,24,Extreme Fear,0.0,0.0
2018-09-21,31,Fear,7.0,29.166666666666675
2018-09-22,35,Fear,4.0,12.903225806451623
2018-09-23,38,Fear,3.0,8.571428571428562
2018-09-24,43,Fear,5.0,13.157894736842103
2018-09-25,37,Fear,-6.0,-13.953488372093027
2018-09-26,37,Fear,0.0,0.0
2018-09-27,42,Fear,5.0,13.513513513513509
2018-09-28,42,Fear,0.0,0.0
