date,fr_mean,fr_max,fr_min,fr_annualized,fr_7d_mean,fr_extreme_long,fr_extreme_short,fr_change
2019-09-10,0.01,0.01,0.01,10.95,0.01,0.0,0.0,
2019-09-11,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-12,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-13,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-14,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-15,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-16,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-17,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-18,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-19,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-20,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-21,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-22,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-23,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-24,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-25,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-26,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-27,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-28,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-29,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-09-30,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-10-01,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-10-02,-0.010819333333333334,0.01,-0.052458,-11.84717,0.007025809523809524,0.0,1.0,-0.020819333333333336
2019-10-03,-0.009698666666666668,0.01,-0.032220000000000006,-10.620040000000001,0.004211714285714286,0.0,0.0,0.0011206666666666656
2019-10-04,-3.733333333333366e-05,0.01,-0.013704000000000001,-0.04088000000000036,0.0027778095238095235,0.0,0.0,0.009661333333333334
2019-10-05,-0.016524666666666667,-0.0012259999999999999,-0.025688000000000002,-18.09451,-0.0010114285714285715,0.0,1.0,-0.016487333333333333
2019-10-06,-0.0039953333333333325,0.002715,-0.011056999999999999,-4.374889999999999,-0.003010761904761905,0.0,0.0,0.012529333333333333
2019-10-07,-0.016642666666666667,-0.005063,-0.024859,-18.22372,-0.006816857142857144,0.0,1.0,-0.012647333333333333
2019-10-08,0.01,0.01,0.01,10.95,-0.006816857142857144,0.0,0.0,0.02664266666666667
2019-10-09,0.01,0.01,0.01,10.95,-0.0038426666666666665,0.0,0.0,0.0
2019-10-10,0.01,0.01,0.01,10.95,-0.0010285714285714286,0.0,0.0,0.0
2019-10-11,0.01,0.01,0.01,10.95,0.00040533333333333345,0.0,0.0,0.0
2019-10-12,0.01,0.01,0.01,10.95,0.004194571428571429,0.0,0.0,0.0
2019-10-13,0.01,0.01,0.01,10.95,0.006193904761904762,0.0,0.0,0.0
2019-10-14,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-10-15,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-10-16,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-10-17,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-10-18,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-10-19,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-10-20,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-10-21,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-10-22,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-10-23,0.01,0.01,0.01,10.95,0.01,0.0,0.0,0.0
2019-10-24,0.005201666666666667,0.01,-0.004395,5.695825,0.00931452380952381,0.0,0.0,-0.004798333333333333
2019-10-25,0.0017636666666666669,0.01,-0.014709,1.9312150000000001,0.008137904761904761,0.0,0.0,-0.003438
